file,title,year,authors_or_owner,venue_or_type,pages,purpose,source_url,sha256
papers/altenburg_et_al_2024_globecom_workshop_remibrandt.pdf,REMIBRANDT: Imputing Radio Environmental Maps for Safety-Critical Applications with Machine Learning,2024,N. Altenburg et al.,IEEE GLOBECOM Workshops,6,Closest workshop radio-map structure,https://cni.etit.tu-dortmund.de/storages/cni-etit/r/Research/Publications/2024/Altenburg_2024_Globecom/Altenburg_GlobecomWkshps2024_AuthorsVersion.pdf,6bc4753954a2fb924bb3c676f6cb7b4e5f2200c943d83e4b6957881f4cdaa689
papers/colpaert_vinogradov_pollin_2018_aerial_coverage.pdf,Aerial Coverage Analysis of Cellular Systems at LTE and mmWave Frequencies Using 3D City Models,2018,A. Colpaert; E. Vinogradov; S. Pollin,Sensors,15,Genia journal structure and UAV propagation context,https://pdfs.semanticscholar.org/0b23/05270ec2d2a7e7850f7813eef34b96b1bbdc.pdf,4c0b50fa522d571044471777423e94c2f4eb97e666cd232d393fcc5f93782bad
papers/colpaert_vinogradov_pollin_2020_globecom_3d_beamforming.pdf,3D Beamforming and Handover Analysis for UAV Networks,2020,A. Colpaert; E. Vinogradov; S. Pollin,IEEE GLOBECOM Workshops,6,Genia six-page GLOBECOM style,https://arxiv.org/pdf/2010.03413,5fe616416b2e84123d23a6886da0376969ae294b3fb90c8ae0c9ad47d091b0d3
papers/debast_vinogradov_pollin_2019_coverage_aware_path_planning.pdf,Cellular Coverage-Aware Path Planning for UAVs,2019,S. De Bast; E. Vinogradov; S. Pollin,IEEE SPAWC,5,Compact Genia conference argument,https://arxiv.org/pdf/1905.03064,dd611f3259b0e59c18bd51660447fde27b3084ae2735f7faf0c8328c461cba0f
papers/fenollosa_et_al_2025_globecom_workshop_isac_consistency.pdf,Correlation and Temporal Consistency Analysis of Mono-static and Bi-static ISAC Channels,2025,S. Fenollosa et al.,IEEE GLOBECOM PCMEM6G Workshop,6,Recent accepted workshop density and structure,https://arxiv.org/pdf/2511.03837,4235729f9213a87bad3b9d9a830a8a30017a54dfcde6aeba422f12e86aa8cc69
papers/interact_2023_environment_aware_channel_modeling_white_paper.pdf,White Paper on Radio Channel Modeling and Prediction to Support Future Environment-aware Wireless Communication Systems,2023,COST INTERACT working group,White paper,99,Environment-aware channel-modeling context,https://arxiv.org/pdf/2309.17088,98f810f0519f80a6d897c9b324ea6221cbe08d06b3d5b5e8435127015ca446c2
papers/lee_et_al_2023_globecom_pmnet.pdf,PMNet: Robust Pathloss Map Prediction via Supervised Learning,2023,J.-H. Lee et al.,IEEE GLOBECOM,6,Closest GLOBECOM dense path-loss map paper,https://arxiv.org/pdf/2211.10527,d4d13088b92ff13439343ef4e60d90093f2112bfe15c8a3c9f3180f911f7a064
papers/saboor_et_al_2023_los_probability_3d_simulator.pdf,Probability of Line of Sight Evaluation in Urban Environments using 3D Simulator,2023,A. Saboor; E. Vinogradov; Z. Cui; S. Pollin,IEEE BlackSeaCom,6,Genia A2G model style and LoS context,https://arxiv.org/pdf/2303.03197,c15b04bc488550b31ed454c8273d411105dd34120c0d7087f0174df6908c8b0e
papers/saboor_et_al_2025_random_obstacles_path_loss.pdf,Path Loss Modelling for UAV Communications in Urban Scenarios with Random Obstacles,2025,A. Saboor; Z. Cui; E. Vinogradov; S. Pollin,EuCAP,5,Recent path-loss modeling structure,https://arxiv.org/pdf/2501.14411,3cd6b5ba9bf30797845e5d0e821cecdd5e0f283179780466779ae371deb077f3
papers/saboor_vinogradov_2025_height_dependent_mmwave.pdf,Millimeter-Wave UAV Channel Model with Height-Dependent Path Loss and Shadowing in Urban Scenarios,2025,A. Saboor; E. Vinogradov,Preprint,8,Height-dependent path-loss context,https://arxiv.org/pdf/2511.10763,d7a28525d260e359574affb4786f789ad7be45550f807f6b5f22b088d69fb896
papers/vinogradov_2025_probabilistic_los_nlos_segmentation.pdf,Spatially Consistent Air-to-Ground Channel Modeling with Probabilistic LOS/NLOS Segmentation,2025,E. Vinogradov et al.,IEEE VTC-Spring,5,Recent Genia first-author method style,https://arxiv.org/pdf/2506.12794,457704633110f4ed01c082fa9007f4c2415cdce75451b518a3d612050b05696f
papers/vinogradov_2026_icnc_3d_shadow_projections.pdf,Spatially Consistent Air-to-Ground Channel Modeling and Simulation via 3D Shadow Projections,2026,E. Vinogradov et al.,IEEE ICNC,6,Most recent Genia first-author paper and structure anchor,https://www.conf-icnc.org/2026/papers/p1017-vinogradov.pdf,8eeda6a2eea49ff220f448159ff6ae0913a8a54936712426b79d3b4c04a22c07
papers/vinogradov_et_al_2019_uav_tutorial.pdf,Tutorial on UAVs: A Blue Sky View on Wireless Communication,2019,E. Vinogradov et al.,Journal of Mobile Multimedia,43,UAV terminology and channel-model background,https://arxiv.org/pdf/1901.02306,2291e9dd4212aea4466a43c9950b92ec6e19deb055b7d8218ec4637c0245d5ce
papers/vinogradov_pollin_2022_globecom_uav_separation.pdf,Reducing Safe UAV Separation Distances with U2U Communication and New Remote ID Formats,2022,E. Vinogradov; S. Pollin,IEEE GLOBECOM Workshops,6,Genia first-author GLOBECOM argument style,https://arxiv.org/pdf/2209.13270,b4707c2265fc28264afe77d23b739ff9752eeb3162b52a2e7add893a06833d66
papers/wang_et_al_2023_6g_channel_measurement_modeling_tutorial.pdf,Channel Measurement Modeling and Simulation for 6G: A Survey and Tutorial,2023,C.-X. Wang et al.,Survey/tutorial,52,6G channel-model terminology and taxonomy,https://arxiv.org/pdf/2305.16616,97bc83798bbf843e8869d6ead0153878452c70e6a4cedd3555abb00c1832ff78
venue/globecom_2024_pcmem6g_workshop_cfp.pdf,3rd Workshop on Propagation Channel Models and Evaluation Methodologies for 6G Call for Papers,2024,IEEE GLOBECOM,Official workshop call,1,Venue scope,https://globecom2024.ieee-globecom.org/sites/globecom2024.ieee-globecom.org/files/CFP%203rd%20Globecom2024%20Workshop%20Channel%20Model%20and%20Evaluation%20for%206G_rev3.pdf,76d72f09c4c2bb5ec3b0d730f34e0ac25b80873cf2a1d1a9ddaf857febb28615
venue/globecom_2025_pcmem6g_workshop_cfp.pdf,4th Workshop on Propagation Channel Models and Evaluation Methodologies for 6G Call for Papers,2025,IEEE GLOBECOM,Official workshop call,1,Most recent archived venue scope,https://globecom2025.ieee-globecom.org/sites/globecom2025.ieee-globecom.org/files/CFP%204th%20Globecom2025%20Workshop%20Channel%20Model%20and%20Evaluation%20for%206G_rev.pdf,52b07742d966a444cd401912f83034b1777864e3c34152293248ff767396f1b7
venue/commnet_2026_cfp.pdf,CommNet 2026 Call for Papers,2026,CommNet,Official conference call,1,Submission dates scope and page policy,https://www.commnet-conf.org/files/cfp26.pdf,833dec6087637cca68e01d2a350c13cf957851e82a3b8531afe1638d1d306f1c
venue/wcnc_2027_cfp.pdf,IEEE WCNC 2027 Call for Papers,2027,IEEE Communications Society,Official conference call,2,Submission dates tracks and venue context,https://wcnc2027.ieee-wcnc.org/sites/default/files/downloads/2026-06/wcnc27-cfp-flyer-a4-tempj_v6_22june26_jb_web-2_0.pdf,2876485b5c3f5ca9c372eb53bec881713613f5a82b7a9c9d817f6957b558179c
